id_gi,Cita,Publicaciones
1-1,Cita 1,"Cheng, D.M.,, Kuhn, P., Poulev, P., Rojo, L.E. y Raskin, I. (2012). In vivo and In vitro Hypoglycemic Effects of Aqueous Cinnamon Extract and Cinnamon Polyphenol-Enhanced Food Matrix. Food Chemistry (in press)."
1-1,Cita 2,"Gaspar, P.A., Bustamante, M.L., Rojo, L.E. y Martinez, A. (2012). From Glutamatergic dysfunction to cognitive impairment: Boundaries in the therapeutic of the schizophrenia. Curr. Pharm Biotech 2012 Jan 26 (in press)."
1-1,Cita 3,"Benites, J., Gutierrez, E., López, J., Rojas, M., Rojo, L.E., Céu, M.C., Vinardell, M.P., y Calderon, P.B. (2012). Evaluation of Analgesic Activities of Tremetone Derivatives Isolated from the Chilean Altiplan Medicine Parastrephia lepidophylla. Nat Prod Ccomm."
1-1,Cita 4,"Lila, M.A., Ribnicky, D.M., Rojo, L.E., Rojas-Silva, P., Oren, A., Janle, E., Raskin, I.,  Yousef, G.G. y Grace, M.H. (2012). Complementary approaches to gauge the bioavailability and distribution of ingested berry polyphenolics. J Agric Food Chemistry (in press)."
1-1,Cita 5,"Rojo, L.E., Ribnicky, D., Logendra, S., Poulev, A., Kuhn, P., Rojas, P.,  Oren, A., Mary, M., Lila, M.A. y Raskin, I. (2012). In Vitro and In vivo Antidiabetic Effects of Anthocyanis from Maqui Berry (Aristotelia chilensis). Food Chemistry (in press)."
1-1,Cita 6,"Rojo, L.E., Villano, C.A., Joseph, G., Shulaev, V.,  Lila, M.A. y  Raskin, I. (2010). Would Healing properties of the oil from Pouteria lucuma, J. Cosmetic Derm. (in press) (Paper disseminated through the media and science web sites)"
1-1,Cita 7,"Lavados, M., Guillón, M., Mujica, M.C., Rojo, L.E., Fuentes, P. y Maccioni, R..B. (2008). Mild Cognitive Impairment and Alzheimer patients display different levels of Redox-active CSF Iron.  J Alzheimers Dis. 13(2):225-32. "
1-1,Cita 8,"Benites, J., Moiteiro, C., Miguel, G., Rojo, L., López, J., Venâncio, F., Ramalho, L., Feio, S., Dandlen, S., Casanova, H., y Torres, I. (2009). Composition and Biological Activity of the Essential Oil of Peruvian Lantana camara, J. Chil. Chem. Soc., 54, 4,  379-84."
1-1,Cita 9,"Rojo, L., Benites, J., Rodrigues, A., Venâncio, F., Ramalho, L., Teixeira, A., Feio, S. y Costa, M.C. (2006). Composition and Antimicrobial Screening of the Essential Oil of Acantholippia deserticola (Phil.ex F. Phil.) Moldenke. J. Essent. Oil Res. 18, 1-17 "
1-1,Cita 10,"Benites, J., Lopez, J., Rojo,  L., Díaz, P., Rojas, M., Fuentes, R., Moiteiro, C. y Venancio, F. (2001). Chemical composition of the essential oil of Xenophyllum poposum. Chemistry of Natural Compounds. Vol. 46, No. 6, pp. 988-989."
